,team_long_name,team_short_name,Fan_Count,Likes,Comments,Shares,Messages
0,Manchester United,MUN,73698717,8962,65,58,Four games left to impress!
1,Manchester United,MUN,73698717,29428,833,1852,"Cristiano Ronaldo ????
Wayne Rooney ????
Dimitar Berbatov ??

On this day in 2009, United came back from two goals down to beat Spurs 5-2!"
2,Manchester United,MUN,73698717,16919,209,604,"Jesse Lingard’s solo effort against Watford won our Goal of the Month for November, but does it get your vote for our Goal of the Season?

Vote now: http://manutd.co/KX9"
3,Manchester United,MUN,73698717,11025,76,226,"Awesome from Uber ?

Bringing fans closer to their passion and the Theatre of Dreams... ?  #UberDestinationUnited
www.manutd.com/uber"
4,Manchester United,MUN,73698717,3300,16,43,None
5,Manchester United,MUN,73698696,8976,65,58,Four games left to impress!
6,Manchester United,MUN,73698696,29447,833,1854,"Cristiano Ronaldo ????
Wayne Rooney ????
Dimitar Berbatov ??

On this day in 2009, United came back from two goals down to beat Spurs 5-2!"
7,Manchester United,MUN,73698696,16928,210,604,"Jesse Lingard’s solo effort against Watford won our Goal of the Month for November, but does it get your vote for our Goal of the Season?

Vote now: http://manutd.co/KX9"
8,Manchester United,MUN,73698696,11049,76,226,"Awesome from Uber ?

Bringing fans closer to their passion and the Theatre of Dreams... ?  #UberDestinationUnited
www.manutd.com/uber"
9,Manchester United,MUN,73698696,3301,16,43,None
10,Manchester United,MUN,22872,0,0,0,TOP 18 ? MANCHESTER UNITED GOALS ?
11,Manchester United,MUN,22872,7,0,0,Eric Cantona no.1? goal for Manchester United
12,Manchester United,MUN,22872,4,0,0,Eric Bailly & Zlatan Ibrahimovich
13,Manchester United,MUN,22872,5,0,0,Vintage Cristiano Ronaldo against Everton
14,Manchester United,MUN,22872,4,0,0,Fucking Kyle Walker
15,Manchester United,MUN,22872,3,0,0,Cristiano Ronaldo surprises a kid on a Madrid's street
16,Manchester United,MUN,22872,3,0,0,None
17,Manchester United,MUN,22872,5,0,0,"Bienvenue, Eric! ? King Cantona arrived at Old Trafford 25 years ago today..."
18,Manchester United,MUN,22872,5,0,0,None
19,Manchester United,MUN,22872,4,0,0,None
20,Manchester United,MUN,22872,3,0,0,None
