,player_name,User_Name,Screen_Name,Tweet_created,Retweeted,Favourited,Location,Time_Zone,Geo,Text,Favourites_Count,Friends_Count,Followers_Count,Retweet_Count,Hashtags,URL
0,Alvaro Morata,Lynx,LynxApk,2018-04-22 23:36:32,False,False,Meme Land,Mexico City,None,"RT @kingzorro81: Last weekend we got hit with 18” of snow in Minnesota. 
Just a week later spring is here..
see more https://t.co/EGxPmXzOK…",114,93,492,146,None,[]
1,Alvaro Morata,lbhkr,LBHKRRecords,2018-04-22 22:42:53,False,False,,None,None,"RT @kingzorro81: Last weekend we got hit with 18” of snow in Minnesota. 
Just a week later spring is here..
see more https://t.co/EGxPmXzOK…",1163,1432,127,4035,None,[]
2,Alvaro Morata,Emmanuel Olabayo,bayonuels,2018-04-22 22:30:35,False,False,"Lagos state, Nigeria.",None,None,"In a season that had bigger money moves by #Lukaku and #Morata, a certain #MoSalah stole the show.

Regardless of t… https://t.co/KUakEbyvx4",931,701,424,1399,Lukaku,"[{'url': 'https://t.co/KUakEbyvx4', 'expanded_url': 'https://twitter.com/i/web/status/988183309694926848', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]"
3,Alvaro Morata,Andrea Fabris,andreafabris96,2018-04-22 21:56:45,False,False,Verderio,Rome,None,Olivier #Giroud e Alvaro #Morata portano il Chelsea Football Club in finale di The Emirates FA Cup: il Southampton… https://t.co/UCTBsylBjT,23730,1523,538,34752,Giroud,"[{'url': 'https://t.co/UCTBsylBjT', 'expanded_url': 'https://twitter.com/i/web/status/988174797430386689', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]"
4,Alvaro Morata,Harvey Emby,harveyemby10,2018-04-22 21:40:42,False,False,,None,None,"Great atmosphere at Wembley today, fans were great, shame Southampton let it down by leaving thousands of empty sea… https://t.co/pgZ0vNm7Dq",88,179,22,164,None,"[{'url': 'https://t.co/pgZ0vNm7Dq', 'expanded_url': 'https://twitter.com/i/web/status/988170757191675904', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]"
5,Alvaro Morata,Harvey Emby,harveyemby10,2018-04-22 21:38:20,False,False,,None,None,"Just to say Giroud’s goal today should be given as FA Cup goal of the tournament, I can’t describe how good it was… https://t.co/wVVbYkHoUr",88,179,22,164,None,"[{'url': 'https://t.co/wVVbYkHoUr', 'expanded_url': 'https://twitter.com/i/web/status/988170160417714176', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]"
6,Alvaro Morata,"Mary ATP, Arsenal ??",mms_soumare,2018-04-22 21:20:01,False,False,Senegal,None,None,13 buts en #PL c’est 2 de + que #Morata et “que” 3 de moins que #Lukaku qui en plus de jouer pratiquement et intégr… https://t.co/XpLDpwAsql,602,1331,408,273,PL,"[{'url': 'https://t.co/XpLDpwAsql', 'expanded_url': 'https://twitter.com/i/web/status/988165553071296512', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]"
7,Alvaro Morata,SHOWY!,CamiloR531,2018-04-22 21:13:03,False,False,Colombia,Bogota,None,"ASÍ VIVE ÁLVARO MORATA, CONOCE A SU HERMOSA MUJER, MIRA QUE HACEN EN SU TIEMPO LIBRE Y SU DÍA A DÍA #Manchester… https://t.co/n33ucgNsZC",59,408,142,5861,Manchester,"[{'url': 'https://t.co/n33ucgNsZC', 'expanded_url': 'https://twitter.com/i/web/status/988163800309420032', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [113, 136]}]"
8,Alvaro Morata,Jordi Garcia Serna,jordigarciatv,2018-04-22 20:36:41,False,False,,Pacific Time (US & Canada),None,Giroud y #Morata guían al #Chelsea a la final de la #FACup al imponerse al #southampton (0-2) donde se enfrentaran… https://t.co/YASE8rSheJ,100,39344,42847,7362,Morata,"[{'url': 'https://t.co/YASE8rSheJ', 'expanded_url': 'https://twitter.com/i/web/status/988154645251067905', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]"
9,Alvaro Morata,malik adams,malikadams1298,2018-04-22 20:15:12,False,False,"Toronto, Ontario",None,None,"RT @kingzorro81: Last weekend we got hit with 18” of snow in Minnesota. 
Just a week later spring is here..
see more https://t.co/EGxPmXzOK…",719,971,41,1394,None,[]
